NewQuestion,MC
NewQuestion,MC
Title,q001
QuestionText,"If a variable has never been assigned a value then the variable is ______________"
QuestionText,"A little bit of PHP code which can be included inside a file which is mostly HTML is referred to as a _____________"
Option,0,Block
Option,0,Function
Option,0,Class
Option,100,Snippet
Option,0,None of these
NewQuestion,MC
Title,q026
QuestionText,"If a file is mostly HTML with a little bit of PHP then, in order for the file to work properly, the file extension should be ____________"
Option,0,.HTML
Option,100,.PHP
Option,0,Either .HTML or .PHP
Option,0,.PHPML
Option,0,None of these
NewQuestion,MC
Title,q027
QuestionText,"The include_once command ensures that _____________"
Option,100,if a script is executed again then the output/result of the previous "include_once" command will be used on the subsquent execution of the script
Option,0,if a script is executed again the script that is pulled-in by the include_once command will be executed again
Option,0,if a script is executed again the include_once command will be ignored
Option,0,if a script is executed again an error will be generated
Option,0,none of these
NewQuestion,MC
Title,q028
QuestionText,"Inheritance is implemented in php using ______________"
Option,100,extends
Option,0,->
Option,0,::
Option,0,parent
Option,0,typeof
NewQuestion,MC
Title,q029
QuestionText,"The correct syntax used to assign a value to a class variable using the $this pseudo variable is _______________"
Option,0,$this->$myvar=5;
Option,0,this->myvar=5;
Option,0,this->$myvar=5;
Option,100,$this->myvar=5;
Option,0,$this.myvar
Option,0,5;
NewQuestion,MC
Title,q030
QuestionText,"Another term for getter methods is ______________"
Option,100,Accessor methods
Option,0,Mutator methods
Option,0,Encapsulated methods
Option,0,Public methods
Option,0,Returning methods
NewQuestion,MC
Title,q031
QuestionText,"Three examples of magic methods in PHP are ______________"
Option,0,__constructor(), __destructor() and __toString()
Option,0,constructor methods, getter methods and setter methods
Option,100,__construct(), __destruct() and __toString()
Option,0,getter methods, setter methods, toString methods
Option,0,__toString(), __construct(), __destroy()
NewQuestion,MC
Title,q032
QuestionText,"It is necessary to destroy objects because _______________"
Option,100,Unused objects use up memory which could be released back to the operating system
Option,0,Objects need to be destroyed in order to that the values inside them can be reused
Option,0,Unused objects represent a risk to the security of the system
Option,0,Before a new object can be instantiated from a class the old object must first be destroyed
Option,0,Unused objects become obsolete after a period of time
NewQuestion,MC
Title,q033
QuestionText,"Encapsulation in OOP is implemented by ______________"
Option,100,Making the methods public and the attributes private
Option,0,Making the variables public and the attributes private
Option,0,Making the variables private and the atrributes public
Option,0,Making the attributes public and the methods private
Option,0,Making both the attributes and methods private
NewQuestion,MC
Title,q034
QuestionText,"The point of Encapsulation and Inheritance in OOP is ________________"
Option,0,Reusability
Option,0,Ensuring no other programmer can change the way an object works
Option,0,Ultimately - writing less code
Option,0,Sharing attributes and methods among classes
Option,100,All of these
NewQuestion,MC
Title,q035
QuestionText,"If a programmer fails to destroy a session then ______________"
Option,100,The server could potentially crash
Option,0,The session will eventually timeout
Option,0,Nothing will happen
Option,0,The user will receive a session not destroyed error message
Option,0,The session will time out after one hour by default
NewQuestion,MC
Title,q036
QuestionText,"Normal PHP Variables which are declared on a PHP page can ______________"
Option,0,be accessed from other pages
Option,100,Never be accessed from other pages
Option,0,be accessed on other pages through use of the global() function
Option,0,be accessed on other pages if they are declared outside a function or class
Option,0,be accessed from other pages through the use of a Magic method
NewQuestion,MC
Title,q037
QuestionText,"To use a session, the programmer  _____________"
Option,100,must use the start_session(); command on every page where session variables are accessed
Option,0,must use the start_session(); only when first initialising the session
Option,0,must use the start_session(); command on every page in the site whether accessing session variables or not
Option,0,must use the start_session(); command after every time a session has been destroyed
Option,0,does not necessarily have to use the start_session(); command
NewQuestion,MC
Title,q038
QuestionText,"The time(); function returns ______________"
Option,100,The total number of seconds since 1/1/1970
Option,0,The current time
Option,0,The time the session was started
Option,0,The amount of seconds since the session was started
Option,0,None of these
NewQuestion,MC
Title,q039
QuestionText,"The browser stores the session id (token) in _____________"
Option,0,The browser cache
Option,100,A cookie
Option,0,A session variable
Option,0,A php variable
Option,0,A file on the server
NewQuestion,MC
Title,q040
QuestionText,"If a Program tries to verify the time a session was last accessed by accessing the session variable which stores the last accessed time but the page has never before been accessed and therefore the session has not been started then ______________"
Option,100,An undefined index error may occur
Option,0,There is no problem as the session has never been accessed
Option,0,The session will automatically be started
Option,0,The session will automatically timeout
Option,0,The Server will crash
